Exchange;PER90;Yield90;PER91;Yield91;PER92;Yield92;PER93;Yield93;PER94;Yield94;PER95;Yield95;PER96;Yield96;PER97;Yield97;PER98;Yield98;PER99;Yield99;PER00;Yield00;PER01;Yield01;PER02;Yield02;PER03;Yield03
Amex;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;29.8;2.1;20.1;1.5;21.7;1.2;32.5;1.3;36.2;NA;27.1;0.9;30.8;2.5;31.2;1.9;41.6;1
Bermuda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.2;4;7.6;4.7;10.1;3.3;10.5;3.2;10.9;4.2;15.3;5.4
Buenos Aires;NA;NA;NA;NA;40.4;1.8;61.4;2.4;15.8;2.7;14.2;4.3;28.9;3.8;16;2.9;13;3.6;23.3;3.5;23.8;1.8;15.3;3.4;NA;2.6;32.1;3.2
Lima;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.6;NA;1.5;NA;3.8;NA;4.3;NA;2.9;NA;2.1;NA;2.4;NA;2.6;NA;3.2
Mexico;11.2;3.7;14.6;1.4;13.5;1.3;18.8;1.4;18.9;2.3;20.6;1.6;13.5;1.4;17.9;1.4;16.2;2.9;17.2;0.8;12.2;1;15.6;2;12.5;2;17.9;1.9
Nasdaq;11.1;NA;43;NA;37.4;NA;39.8;NA;29.7;NA;35.3;NA;26.3;NA;26.4;NA;105.6;NA;205.5;NA;126.9;NA;NA;NA;NA;NA;NA;NA
NYSE;14.8;3.7;25.8;2.4;22.7;3;23.4;2.5;18.2;2.9;19.2;2.4;20.6;2.1;23.9;1.7;27.2;NA;31.3;1.1;25.2;1.2;NA;NA;NA;NA;NA;NA
Santiago;6.5;7.9;14.7;4.1;14.3;4.5;21.6;5.2;21.5;3.5;19.1;3.6;13.3;4;13.6;3.8;12.7;5.4;16.2;3.9;17;3.6;15.5;6.2;20.6;4.2;22.9;3.2
Sao Paulo;3.6;14.3;7.8;14.7;8.8;NA;8.4;NA;12.6;NA;26.9;NA;34;NA;12.5;NA;16.9;NA;37.8;3.6;11;3.2;13.1;3.6;7;4.2;8.4;4.3
TSX Group;16.1;3.8;45.8;3.2;156.5;3.1;124.6;2.3;124.6;2.3;NA;NA;24.2;1.8;22.9;1.6;28.5;1.7;40;1.3;23;1.3;NA;1.5;42.4;1.9;19.7;1.6
Athens;20.4;4.5;13.8;6.9;12.9;8.2;16.7;3.6;11.1;6.4;12.3;5.8;11.9;NA;12.4;2.9;27.2;2.1;47.9;0.8;27.5;10.3;24.9;4.1;22.6;6.3;28;4.6
Borsa Italiana;16.5;3.3;16.9;3.8;25.8;4.1;58.6;2.5;136.9;1.6;30.2;1.7;18.9;2.4;24.7;1.7;25;1.4;25.8;1.7;22.4;2.1;21.3;2.1;16.8;3.8;15.7;3.4
Budapest;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.6;2.5;12.7;5.3;14.1;3.9;16.7;4.6
Copenhagen;NA;NA;NA;NA;NA;2.8;NA;1.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deutsche Boerse;11.6;3.8;14.1;3.8;22;4;24.5;2.9;25.2;3.3;22.3;2.8;20.7;1.8;27.8;1.7;30.6;1.3;55;2.6;NA;NA;NA;NA;NA;NA;NA;NA
Euronext Amsterdam;10.2;5;10.9;4.5;10.9;3.8;13.4;2.9;14.6;3.1;13.1;3.4;17.8;2.7;20.2;2.3;22.4;2;31.8;1.6;21.3;1.9;15.6;2.9;12.9;3.9;14.9;3.7
Euronext Brussels;9.9;3.6;11.3;3.5;13.9;5.4;17.1;4;18.5;4.2;14.3;4.4;15.4;3.7;17.3;3.1;23.3;1.9;22;2.4;14.5;2.9;11;3.5;10;4.8;13.6;3.7
Euronext Lisbon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.5;3;20.7;2.2;22.2;2.4;NA;1.4;16.8;1.1;14.1;NA;19.2;3.1
Euronext Paris;10.2;4;13.8;3.8;15.4;3.8;19;2.7;14;3.2;16;3.3;NA;2.7;NA;2.2;NA;2.1;NA;1.4;18.1;1.6;14.1;2.3;12.4;3.3;16.8;2.6
Helsinki;NA;4.5;NA;2.6;NA;1.4;NA;1.1;8.9;1.9;20;2.9;18.7;2;12.4;2.7;17.9;2.2;34.1;1;NA;2.5;NA;2.6;NA;3.1;NA;3.1
