Amex;859;860;843;889;824;791;751;710;711;650;649;606;571;557
Bermuda;NA;NA;NA;NA;NA;NA;NA;NA;62;45;47;50;54;55
Buenos Aires;179;170;170;165;156;149;147;136;131;125;125;119;114;110
Lima;NA;NA;NA;235;220;243;238;248;249;239;227;227;230;227
Mexico;390;207;199;190;206;185;193;198;195;190;177;172;169;237
Nasdaq;4132;4094;4113;4611;4902;5127;5556;5487;5068;4829;4734;4063;3649;3294
NYSE;1774;1989;1750;1945;2128;2242;2476;2626;2670;3025;2468;2400;2366;2308
Santiago;216;223;244;263;277;282;290;294;287;282;261;249;246;241
Sao Paulo;579;570;565;551;549;544;551;545;535;487;467;441;412;391
TSX Group;1193;1138;1119;1193;1251;1258;1323;1420;1433;1456;1394;1299;3791;3599
Athens;140;151;156;145;173;186;200;210;229;262;310;314;324;332
Borsa Italiana;220;267;258;259;260;254;248;239;243;270;297;294;295;279
Budapest;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;56;48;49
Copenhagen;284;271;219;257;251;252;249;249;254;242;235;217;201;194
Deutsche Boerse;NA;NA;NA;NA;NA;NA;NA;NA;662;851;983;983;934;866
Euronext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1216;1195;1114;1392
Helsinki;77;65;62;58;65;73;71;126;131;150;158;155;149;145
Irish;NA;NA;NA;NA;NA;89;86;102;100;101;96;87;76;66
Istanbul;110;134;145;160;176;205;228;259;278;286;316;311;289;285
JSE South Africa;769;728;671;631;624;638;626;642;669;658;606;532;451;411
Ljubljana;NA;NA;NA;16;17;17;45;78;90;130;149;151;135;134
London;2559;2572;2440;2412;2416;2502;2623;2513;2423;2274;2374;2332;2824;2692
Luxembourg;732;218;221;217;272;283;278;284;276;277;270;257;245;242
Malta;NA;NA;NA;NA;NA;5;6;6;7;9;10;12;13;13
Oslo;121;112;123;135;146;165;172;217;235;215;214;212;203;178
Spanish Exchanges (BME);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3015;3223
Stockholmsborsen;132;127;205;205;228;223;229;261;276;300;311;305;297;282
Swiss Exchange;422;424;470;464;457;449;436;428;424;412;416;412;398;419
Tehran;NA;97;114;119;142;169;221;250;261;277;285;297;307;345
Tel-Aviv;216;286;378;558;638;654;655;659;662;654;665;649;624;577
Warsaw;NA;9;16;22;44;65;83;143;198;221;225;230;216;203
Wiener Boerse;151;151;160;155;153;148;142;138;128;114;111;111;129;125
Australian;1136;1005;1073;1107;1185;1178;1190;1219;1222;1287;1406;1410;1421;1471
Bursa Malaysia;271;321;366;410;475;526;618;703;731;752;790;807;861;902
Colombo;NA;NA;NA;197;211;222;235;239;240;237;239;238;238;244
Hong Kong;299;357;413;477;529;542;583;658;680;708;790;867;978;1037
Jakarta;123;139;153;172;217;237;252;281;287;276;286;315;331;333
Korea;677;686;688;693;699;721;760;776;748;712;702;688;683;684
Mumbai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5795;5650;5644
National Stock Exchange India;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1041;916;911
New Zealand;245;196;167;180;187;175;170;180;182;189;203;195;196;196
Osaka;1138;1158;1163;1178;1199;1222;1256;1275;1272;1281;1310;1335;1312;1140
Philippine;153;161;169;178;189;205;216;221;222;226;230;232;234;236
Shanghai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;646;715;780
Shenzhen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;508;508;505
Singapore;172;182;195;216;251;272;296;334;358;408;480;492;501;551
Taiwan;205;221;256;285;313;347;382;404;437;462;532;586;641;674
Thailand;159;270;305;347;389;416;454;431;418;392;381;385;398;418
Tokyo;1752;1764;1768;1775;1782;1791;1833;1865;1890;1935;2096;2141;2153;2206
