%Y-%m-%d-;NYSE
1966-01-04;49.92
1966-01-05;50.23
1966-01-06;50.32
1966-01-07;50.37
1966-01-10;50.49
1966-01-11;50.53
1966-01-12;50.44
1966-01-13;50.54
1966-01-14;50.64
1966-01-17;50.83
1966-01-18;50.97
1966-01-19;50.85
1966-01-20;50.66
1966-01-21;50.69
1966-01-24;50.85
1966-01-25;50.89
1966-01-26;50.84
1966-01-27;50.82
1966-01-28;50.66
1966-01-31;50.44
1966-02-01;50.04
1966-02-02;50.26
1966-02-03;50.32
1966-02-04;50.64
1966-02-07;50.81
1966-02-08;50.77
1966-02-09;51.06
1966-02-10;50.92
1966-02-11;50.91
1966-02-14;50.86
1966-02-15;50.64
1966-02-16;50.63
1966-02-17;50.36
1966-02-18;50.26
1966-02-21;49.96
1966-02-23;49.74
1966-02-24;49.41
1966-02-25;49.55
1966-02-28;49.61
1966-03-01;48.98
1966-03-02;48.5
1966-03-03;48.7
1966-03-04;48.55
1966-03-07;47.89
1966-03-08;47.94
1966-03-09;48.34
1966-03-10;48.35
1966-03-11;48.31
1966-03-14;47.75
1966-03-15;47.43
1966-03-16;47.69
1966-03-17;47.84
1966-03-18;48.07
1966-03-21;48.44
1966-03-22;48.58
1966-03-23;48.42
1966-03-24;48.49
1966-03-25;48.61
1966-03-28;48.7
1966-03-29;48.5
1966-03-30;48.1
1966-03-31;48.37
1966-04-01;48.76
1966-04-04;49.2
1966-04-05;49.51
1966-04-06;49.64
1966-04-07;49.74
1966-04-11;49.72
1966-04-12;49.57
1966-04-13;49.59
1966-04-14;49.69
1966-04-15;49.78
1966-04-18;49.58
1966-04-19;49.61
1966-04-20;49.88
1966-04-21;50.04
1966-04-22;49.94
1966-04-25;49.89
1966-04-26;49.76
1966-04-27;49.59
1966-04-28;49.29
1966-04-29;49.29
1966-05-02;49.23
1966-05-03;48.68
1966-05-04;48.42
1966-05-05;47.58
1966-05-06;47.49
1966-05-09;46.67
1966-05-10;47.07
1966-05-11;47.15
1966-05-12;46.57
1966-05-13;46.09
1966-05-16;45.48
1966-05-17;45.06
1966-05-18;45.92
1966-05-19;45.85
1966-05-20;46.07
1966-05-23;46.48
1966-05-24;46.8
1966-05-25;46.98
1966-05-26;46.98
1966-05-27;47.14
1966-05-31;46.5
1966-06-01;46.51
1966-06-02;46.48
1966-06-03;46.54
1966-06-06;46.21
1966-06-07;45.88
1966-06-08;45.95
1966-06-09;46.28
1966-06-10;46.78
1966-06-13;47
1966-06-14;47.16
1966-06-15;46.98
1966-06-16;46.87
1966-06-17;46.88
1966-06-20;46.86
1966-06-21;47.03
1966-06-22;47.12
1966-06-23;46.93
1966-06-24;46.95
1966-06-27;46.66
1966-06-28;46.44
1966-06-29;45.98
1966-06-30;45.91
1966-07-01;46.36
1966-07-05;46.44
1966-07-06;47.09
1966-07-07;47.26
1966-07-08;47.34
1966-07-11;47.27
1966-07-12;47.03
1966-07-13;46.74
1966-07-14;47.01
1966-07-15;47.15
1966-07-18;47.1
1966-07-19;46.76
1966-07-20;46.34
1966-07-21;46.33
1966-07-22;46.29
1966-07-25;45.42
1966-07-26;45.31
1966-07-27;45.54
1966-07-28;45.37
1966-07-29;45.29
1966-08-01;44.6
1966-08-02;44.59
1966-08-03;45.03
1966-08-04;45.44
1966-08-05;45.5
1966-08-08;45.38
1966-08-09;45.28
1966-08-10;45.08
1966-08-11;45.04
1966-08-12;45.15
1966-08-15;44.93
1966-08-16;44.35
1966-08-17;44.09
1966-08-18;43.53
1966-08-19;43.21
1966-08-22;42.44
1966-08-23;42.39
1966-08-24;42.89
1966-08-25;42.35
1966-08-26;41.41
1966-08-29;40.32
1966-08-30;40.99
1966-08-31;41.65
1966-09-01;41.94
1966-09-02;41.81
1966-09-06;41.58
1966-09-07;41.21
1966-09-08;41.07
1966-09-09;41.2
1966-09-12;42.07
1966-09-13;42.31
1966-09-14;42.7
1966-09-15;43.15
1966-09-16;43.14
1966-09-19;42.94
1966-09-20;42.65
1966-09-21;41.93
1966-09-22;42.02
1966-09-23;41.9
1966-09-26;42
1966-09-27;42.12
1966-09-28;41.62
1966-09-29;41.17
1966-09-30;41.3
1966-10-03;40.42
1966-10-04;40.47
1966-10-05;40.24
1966-10-06;39.85
1966-10-07;39.37
1966-10-10;40.05
1966-10-11;40.26
1966-10-12;41.35
1966-10-13;41.33
1966-10-14;41.21
1966-10-17;41.67
1966-10-18;42.35
1966-10-19;42.04
1966-10-20;41.92
1966-10-21;42.07
1966-10-24;42.18
1966-10-25;42.41
1966-10-26;42.79
