XDATE;FDAX
199701020908;2838.06
199701020909;2837.84
199701020910;2840.25
199701020911;2839.42
199701020912;2839.91
199701020913;2842.54
199701020914;2843.61
199701020915;2843.12
199701020916;2842.45
199701020917;2843.09
199701020918;2842.92
199701020919;2843.88
199701020920;2844.64
199701020921;2845.17
199701020922;2844.82
199701020923;2845.31
199701020924;2845.58
199701020925;2845.78
199701020926;2845.23
199701020927;2845.59
199701020928;2845.80
199701020929;2845.12
199701020930;2845.00
199701020931;2845.04
199701020932;2845.32
199701020933;2845.50
199701020934;2847.30
199701020935;2847.83
199701020936;2847.07
199701020937;2847.64
199701020938;2848.27
199701020939;2848.09
199701020940;2849.76
199701020941;2849.59
199701020942;2848.35
199701020943;2847.87
199701020944;2847.72
199701020945;2849.64
199701020946;2849.61
199701020947;2849.95
199701020948;2850.31
199701020949;2849.95
199701020950;2850.27
199701020951;2850.25
199701020952;2850.53
199701020953;2851.68
199701020954;2850.11
199701020955;2849.62
199701020956;2850.63
199701020957;2850.17
199701020958;2850.18
199701020959;2849.86
199701021000;2849.16
199701021001;2848.60
199701021002;2848.50
199701021003;2848.39
199701021004;2847.76
199701021005;2846.99
199701021006;2847.51
199701021007;2847.64
199701021008;2846.38
199701021009;2846.56
199701021010;2845.69
199701021011;2845.94
199701021012;2845.26
199701021013;2845.00
199701021014;2845.95
199701021015;2846.79
199701021016;2847.50
199701021017;2847.90
199701021018;2848.75
199701021019;2849.00
199701021020;2849.65
199701021021;2849.00
199701021022;2849.91
199701021023;2850.50
199701021024;2850.39
199701021025;2850.50
199701021026;2851.00
199701021027;2851.39
199701021028;2855.19
199701021029;2855.38
199701021030;2855.41
199701021031;2855.34
199701021032;2856.12
199701021033;2857.06
199701021034;2857.38
199701021035;2857.95
199701021036;2859.04
199701021037;2860.66
199701021038;2861.62
199701021039;2862.02
199701021040;2861.94
199701021041;2860.48
199701021042;2860.08
199701021043;2859.31
199701021044;2859.01
199701021045;2858.80
199701021046;2857.72
199701021047;2857.44
